,ASS.1,ASS.2,ASS.3,BET.1,BET.2,BET.3,ASPL.1,ASPL.2,ASPL.3,ASPL.4,CC.1,CC.2,DEG.1,DEG.2,DEG.3,DEG.4,MIN.1,MIN.2,MIN.3,MIN.4,MAX.1,MAX.2,MAX.3,MAX.4,SD.1,SD.2,SD.3,SD.4,MT3.1,MT3.2,MT3.3,MT4.1,MT4.2,MT4.3,CLASS
62,0.4591185269793681,0.43542435,0.5,0.16496924896067167,0.116935485,0.0,0.02909470302869388,0.6262965139545478,0.9247528021236834,0.0,0.712184551517664,1.0,0.9464474030749797,0.8793424302304531,0.7112903128201613,0.0,0.08064516129032258,0.08333333333333333,0.5,0.0,0.16666666666666666,0.171875,0.18032786885245902,0.0,0.7366103126676636,0.7219841570709918,0.6231810426661832,0.0,0.8633419689119172,0.5172413793103449,0.0,0.7953055614294777,0.16981132075471697,0.0,class_2
63,0.5232816851641873,0.4,0.5,0.9999999999999999,0.00257732,0.0,0.44225301352597546,1.0,0.0,0.0,0.5777900451028238,0.0,0.4249315803028499,0.14988104661051974,0.0,0.0,0.06451612903225806,0.08333333333333333,0.0,0.0,0.16666666666666666,0.171875,0.0,0.0,0.5830632641179896,0.27493930280954443,0.0,0.0,0.7376943005181348,0.034482758620689655,0.0,0.5757383520124058,0.0,0.0,class_2
64,0.31711109516001834,0.5335097,0.5,0.2926301492044502,0.0081967225,0.0,0.2004521613950676,0.6254123136354758,0.9107698949661117,0.0,0.5618322709174431,0.0,0.5282357608164685,0.4568095836811584,0.24098361422868841,0.0,0.3225806451612903,1.0,0.5,0.0,0.13333333333333333,0.109375,0.11475409836065574,0.0,0.4159130603531923,0.44863768316571045,0.37540999041662754,0.0,0.4216321243523316,0.06896551724137931,0.0,0.3093677310213576,0.0,0.0,class_2
65,0.564136299066168,0.44690635,0.5,0.2885979948842964,0.06048387,0.0,0.18177614931925934,0.6318819260121327,0.925716496639543,0.0,0.7281065995920991,0.0,0.5704230200543572,0.5276054581382719,0.2370967627733872,0.0,0.08064516129032258,0.08333333333333333,0.5,0.0,0.23333333333333334,0.234375,0.24590163934426232,0.0,0.626421216652778,0.60684070443121,0.37242186826490364,0.0,0.4883419689119171,0.3103448275862069,0.0,0.3797138225135688,0.1320754716981132,0.0,class_2
66,0.546570996394036,0.36914064999999996,0.5,0.20385990669093734,0.19140625,0.0,0.05451679352053418,0.647152862583046,0.0,0.0,0.8432551384108559,0.0,0.9012803854306572,0.6436298080017451,0.0,0.0,0.06451612903225806,0.08333333333333333,0.0,0.0,0.31666666666666665,0.34375,0.0,0.0,0.8161473613314917,0.6212694057491011,0.0,0.0,0.8873056994818653,0.4482758620689655,0.0,0.8172975259039966,0.18867924528301885,0.0,class_2
67,0.2875523049811437,0.36842105,0.5,0.17496548079252672,0.1015625,0.0,0.019965161666122277,0.6505841462593701,0.0,0.0,0.9131215550318446,0.0,0.9069721611153185,0.5679086541191869,0.0,0.0,0.3064516129032258,0.08333333333333333,0.0,0.0,0.21666666666666667,0.21875,0.0,0.0,0.8257088960171689,0.5751122425440275,0.0,0.0,0.9630829015544041,0.3448275862068966,0.0,0.9283851413265666,0.11320754716981132,0.0,class_2
68,0.46729575323757155,0.6212121,0.5,0.3391458532998004,0.003968255,0.0,0.23002234559607015,0.6471785708828416,0.9401886457037092,0.0,0.6183127481559595,0.0,0.5361033429756568,0.38461538181952665,0.46666666013333336,0.0,0.11290322580645161,0.08333333333333333,0.5,0.0,0.16666666666666666,0.09375,0.0819672131147541,0.0,0.5255650620426708,0.428689819795525,0.5139196550850101,0.0,0.4209844559585492,0.034482758620689655,0.0,0.30584337774018466,0.0,0.0,class_2
69,0.509824630480422,0.6383648,0.5,0.15966674492449728,0.0458333325,0.0,0.04483656218026799,0.6123139865127445,0.8953250881755833,0.0,0.8970802529764803,0.0,0.9156996112107401,0.605769231060466,0.489999994365,0.0,0.43548387096774194,0.3333333333333333,0.5,0.0,0.13333333333333333,0.140625,0.14754098360655737,0.0,0.7553469709249895,0.5151157886785562,0.5259297094372488,0.0,0.8011658031088084,0.13793103448275862,0.0,0.719954888278001,0.03773584905660377,0.0,class_2
70,0.4314546956706293,0.5777778,0.5,0.17323724236557336,0.13888889,0.0,0.028429433193128517,0.6378531690590183,0.0,0.0,0.6897704792140255,0.0,0.9235054489873011,0.7307692333321005,0.0,0.0,0.08064516129032258,0.16666666666666666,0.0,0.0,0.03333333333333334,0.25,0.0,0.0,0.7388719877626969,0.5727683062532241,0.0,0.0,0.9112694300518136,0.3448275862068966,0.0,0.8674843166278988,0.11320754716981132,0.0,class_2
71,0.5078451313476819,0.57603685,0.5,0.23672578348952744,0.1814516125,0.0,0.11771389459965453,0.6293813034376436,0.925716496639543,0.0,0.5466322575618877,0.0,0.6644291158095126,0.44944168521607775,0.2370967627733872,0.0,0.0967741935483871,0.08333333333333333,0.5,0.0,0.9833333333333333,0.9375,0.639344262295082,0.0,0.5752029086425955,0.5512391120744129,0.37242186826490364,0.0,0.602979274611399,0.27586206896551724,0.0,0.5008106012546698,0.1509433962264151,0.0,class_2
72,0.29692940223501,0.34158415,0.5,0.12616596127416618,0.0958333325,0.0,0.0020604184133363734,0.6075659010067329,0.0,0.0,0.659560323983517,0.0,0.9642693089619698,0.767307694695821,0.0,0.0,0.7580645161290323,0.16666666666666666,0.0,0.0,0.15,0.09375,0.0,0.0,0.6405500507985069,0.5942534497808679,0.0,0.0,0.8400259067357514,0.3793103448275862,0.0,0.7747938253330514,0.09433962264150943,0.0,class_2
73,0.30157065358892077,0.39800995,0.5,0.1768566670311552,0.31451613,0.0,0.04377556279152861,0.6199029940154381,0.0,0.0,0.7060406064535157,0.0,0.8641920465221158,0.8598014900287507,0.0,0.0,0.24193548387096775,0.25,0.0,0.0,0.3,0.015625,0.0,0.0,0.7706062145409299,0.6808933517744512,0.0,0.0,0.7882124352331606,0.6206896551724138,0.0,0.7181222245717911,0.3018867924528302,0.0,class_2
